Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Actual_Point_Diff,Who_Covered,Winning_Line
BASKETBALL,NBA,IND PACERS,DET PISTONS,n/a,-7.0,7.0,14.0,IND PACERS,-7.0
BASKETBALL,NBA,CHA HORNETS,BKN NETS,n/a,-3.0,3.0,-21.0,BKN NETS,3.0
BASKETBALL,NBA,WAS WIZARDS,TOR RAPTORS,n/a,6.5,-6.5,-24.0,TOR RAPTORS,-6.5
BASKETBALL,NBA,NY KNICKS,DEN NUGGETS,n/a,-2.5,2.5,10.0,NY KNICKS,-2.5
BASKETBALL,NBA,MIA HEAT,CLE CAVALIERS,n/a,7.0,-7.0,-20.0,CLE CAVALIERS,-7.0
BASKETBALL,NBA,BOS CELTICS,CHI BULLS,n/a,-14.5,14.5,22.0,BOS CELTICS,-14.5
BASKETBALL,NBA,PHI 76ERS,SAC KINGS,n/a,9.0,-9.0,13.0,PHI 76ERS,9.0
BASKETBALL,NBA,NO PELICANS,DAL MAVERICKS,n/a,1.5,-1.5,-1.0,NO PELICANS,1.5
BASKETBALL,NBA,SA SPURS,LA CLIPPERS,n/a,4.0,-4.0,-12.0,LA CLIPPERS,-4.0
BASKETBALL,NBA,PHO SUNS,MIN TIMBERWOLVES,n/a,1.5,-1.5,-8.0,MIN TIMBERWOLVES,-1.5
BASKETBALL,NBA,GS WARRIORS,OKC THUNDER,n/a,10.0,-10.0,7.0,GS WARRIORS,10.0
BASKETBALL,NBA,PHI 76ERS,LA LAKERS,n/a,3.5,-3.5,14.0,PHI 76ERS,3.5
BASKETBALL,NBA,ATL HAWKS,HOU ROCKETS,n/a,6.0,-6.0,-4.0,ATL HAWKS,6.0
BASKETBALL,NBA,POR TRAIL BLAZERS,MIL BUCKS,n/a,5.5,-5.5,13.0,POR TRAIL BLAZERS,5.5
BASKETBALL,NBA,GS WARRIORS,UTA JAZZ,n/a,-12.5,12.5,11.0,UTA JAZZ,12.5
BASKETBALL,NBA,CHA HORNETS,LA LAKERS,n/a,5.5,-5.5,-5.0,CHA HORNETS,5.5
BASKETBALL,NBA,CLE CAVALIERS,DET PISTONS,n/a,-10.5,10.5,19.0,CLE CAVALIERS,-10.5
BASKETBALL,NBA,BOS CELTICS,HOU ROCKETS,n/a,-6.5,6.5,-2.0,HOU ROCKETS,6.5
BASKETBALL,NBA,NY KNICKS,MEM GRIZZLIES,n/a,-3.5,3.5,37.0,NY KNICKS,-3.5
BASKETBALL,NBA,BKN NETS,SAC KINGS,n/a,12.0,-12.0,-14.0,SAC KINGS,-12.0
BASKETBALL,NBA,MIA HEAT,ORL MAGIC,n/a,1.5,-1.5,6.0,MIA HEAT,1.5
BASKETBALL,NBA,TOR RAPTORS,NO PELICANS,n/a,2.0,-2.0,9.0,TOR RAPTORS,2.0
BASKETBALL,NBA,CHI BULLS,DEN NUGGETS,n/a,9.5,-9.5,8.0,CHI BULLS,9.5
BASKETBALL,NBA,MIN TIMBERWOLVES,ATL HAWKS,n/a,-10.5,10.5,8.0,ATL HAWKS,10.5
BASKETBALL,NBA,DAL MAVERICKS,WAS WIZARDS,n/a,-12.5,12.5,22.0,DAL MAVERICKS,-12.5
BASKETBALL,NBA,UTA JAZZ,MIL BUCKS,n/a,9.0,-9.0,-15.0,MIL BUCKS,-9.0
BASKETBALL,NBA,PHO SUNS,LA CLIPPERS,n/a,2.0,-2.0,2.0,PHO SUNS,2.0
FOOTBALL,NFL,PHI EAGLES,WAS COMMANDERS,n/a,-6.0,6.0,32.0,PHI EAGLES,-6.0
FOOTBALL,NFL,KC CHIEFS,BUF BILLS,n/a,-1.5,1.5,3.0,KC CHIEFS,-1.5
BASKETBALL,NBA,POR TRAIL BLAZERS,OKC THUNDER,n/a,14.0,-14.0,-10.0,POR TRAIL BLAZERS,14.0
BASKETBALL,NBA,SA SPURS,IND PACERS,n/a,2.5,-2.5,-38.0,IND PACERS,-2.5
BASKETBALL,NBA,MIN TIMBERWOLVES,DEN NUGGETS,n/a,4.5,-4.5,29.0,MIN TIMBERWOLVES,4.5
BASKETBALL,NBA,DAL MAVERICKS,BOS CELTICS,n/a,8.5,-8.5,-15.0,BOS CELTICS,-8.5
BASKETBALL,NBA,BKN NETS,MIA HEAT,n/a,9.0,-9.0,-9.0,BOTH,""
BASKETBALL,NBA,ORL MAGIC,DET PISTONS,n/a,-3.0,3.0,8.0,ORL MAGIC,-3.0
BASKETBALL,NBA,CHA HORNETS,NO PELICANS,n/a,4.0,-4.0,31.0,CHA HORNETS,4.0
