Team,Avg_Point_Differential
A&M-CORPUS CHRISTI,-5.20
ABILENE CHRISTIAN,-4.00
AIR FORCE,-11.33
AKRON,0.67
ALABAMA,10.40
ALABAMA A&M,-11.20
ALABAMA STATE,-5.00
ALCORN,-2.25
AMERICAN,-3.60
APPALACHIAN STATE,2.67
ARIZONA,21.00
ARIZONA STATE,-3.60
ARKANSAS,9.67
ARKANSAS STATE,10.33
ARKANSAS-PINE BLUFF,-21.50
AUBURN,24.80
AUSTIN PEAY,-8.33
BALL STATE,4.50
BAYLOR,5.67
BELLARMINE,-21.67
BELMONT,2.50
BETHUNE-COOKMAN,-7.00
BOISE STATE,13.14
BOSTON COLLEGE,-13.33
BOSTON UNIVERSITY,-3.80
BOWLING GREEN,-8.67
BRADLEY,10.00
BROWN,-34.00
BRYANT,7.00
BUCKNELL,-4.67
BUTLER,-7.40
BYU,19.00
CAL POLY,-9.60
CAL STATE FULLERTON,-4.40
CALIFORNIA,-2.83
CALIFORNIA BAPTIST,-2.25
CAMPBELL,-8.00
CENTAL CONNECTICUT STATE,4.00
CENTRAL ARKANSAS,-11.67
CENTRAL CONNECTICUT STATE,2.67
CENTRAL MICHIGAN,-15.33
CHARLESTON,2.83
CHARLESTON SOUTHERN,-11.25
CHARLOTTE,-1.13
CHATTANOOGA,1.60
CHICAGO STATE,-14.20
CINCINNATI,6.20
CLEMSON,-1.67
CLEVELAND STATE,15.25
COASTAL CAROLINA,-17.50
COLORADO,10.00
COLORADO STATE,3.17
COPPIN STATE,-15.75
CREIGHTON,1.83
CSU BAKERSFIELD,-5.40
CSUN,5.20
DARTMOUTH,1.67
DAVIDSON,11.00
DAYTON,-0.83
DELAWARE,1.00
DELAWARE STATE,1.00
DENVER,-10.67
DEPAUL,-4.50
DETROIT MERCY,-24.00
DRAKE,6.80
DREXEL,-7.00
DUKE,27.75
DUQUESNE,11.50
EAST CAROLINA,-0.50
EAST TEXAS A&M,-11.00
EASTERN ILLINOIS,-7.00
EASTERN KENTUCKY,0.20
EASTERN MICHIGAN,-10.25
EASTERN WASHINGTON,-8.00
ELON,0.17
ETSU,6.17
EVANSVILLE,-14.60
FAIRFIELD,-7.50
FAIRLEIGH DICKINSON,-3.00
FIU,-4.00
FLORIDA,15.75
FLORIDA A&M,-13.25
FLORIDA ATLANTIC,-3.00
FLORIDA GULF COAST,7.50
FLORIDA STATE,5.83
FRESNO STATE,-10.50
FURMAN,-0.50
GARDNER-WEBB,-1.33
GEORGE MASON,6.25
GEORGE WASHINGTON,1.75
GEORGETOWN,3.17
GEORGIA,2.60
GEORGIA SOUTHERN,-1.86
GEORGIA STATE,-16.17
GEORGIA TECH,-6.67
GONZAGA,10.00
GRAMBLING,-10.33
GRAND CANYON,6.86
GREEN BAY,-14.50
HAMPTON,-3.20
HARVARD,-14.50
HAWAII,-0.43
HIGH POINT,8.00
HOLY CROSS,2.67
HOUSTON,26.80
HOUSTON CHRISTIAN,-7.33
HOWARD,5.67
IDAHO,0.33
IDAHO STATE,-8.33
ILLINOIS,8.80
ILLINOIS CHICAGO,10.20
ILLINOIS STATE,0.75
INCARNATE WORD,-9.00
INDIANA,-5.43
INDIANA STATE,-15.33
IOWA,-0.63
IOWA STATE,24.75
IU INDIANAPOLIS,1.20
JACKSON STATE,-1.33
JACKSONVILLE,4.80
JACKSONVILLE STATE,2.29
JAMES MADISON,-3.33
KANSAS,12.80
KANSAS STATE,-9.40
KENNESAW STATE,-6.00
KENT STATE,0.60
KENTUCKY,-1.40
LA SALLE,-8.20
LAFAYETTE,-5.50
LAMAR,0.17
LEHIGH,-3.00
LIBERTY,9.50
LINDENWOOD,4.17
LIPSCOMB,5.00
LITTLE ROCK,0.60
LONG BEACH STATE,-11.00
LONGWOOD,7.33
LOUISIANA,-12.83
LOUISIANA TECH,9.40
LOUISVILLE,10.25
LOYOLA CHICAGO,-1.33
LOYOLA MARYLAND,-7.50
LOYOLA MARYMOUNT,2.57
LSU,8.00
MAINE,1.00
MARQUETTE,5.00
MARSHALL,3.80
MARYLAND,19.40
MCNEESE,12.80
MD EASTERN SHORE,-14.00
MEMPHIS,0.00
MERCER,-0.33
MERCYHURST,-13.25
MERRIMACK,-0.40
MIAMI FL,-14.40
MIAMI OH,8.33
MIAMIA OH,8.00
MICHIGAN,3.80
MICHIGAN STATE,16.40
MIDDLE TENNESSEE,0.40
MILWAUKEE,12.80
MINNESOTA,1.14
MISSISSIPPI STATE,6.00
MISSISSIPPI VALLEY,-31.40
MISSOURI,3.40
MISSOURI STATE,-10.00
MONMOUTH,0.50
MONTANA,-3.60
MONTANA STATE,-9.50
MOREHEAD STATE,5.00
MORGAN STATE,-2.50
MOUNT SAINT MARYS,-3.33
MURRAY STATE,-3.00
NAVY,-3.00
NC CENTRAL,-2.00
NC STATE,2.25
NEBRASKA,6.00
NEVADA,2.80
NEW HAMPSHIRE,-7.67
NEW MEXICO,10.33
NEW MEXICO STATE,-1.00
NEW ORLEANS,-19.83
NICHOLLS STATE,-1.50
NJIT,-13.50
NORFOLK STATE,3.80
NORTH ALABAMA,-3.75
NORTH CAROLINA,10.33
NORTH CAROLINA A&T,-11.14
NORTH DAKOTA,-6.50
NORTH DAKOTA STATE,22.75
NORTH FLORIDA,-6.67
NORTH TEXAS,14.14
NORTHEASTERN,-1.40
NORTHERN ARIZONA,5.20
NORTHERN COLORADO,3.00
NORTHERN ILLINOIS,-11.50
NORTHERN IOWA,10.80
