line,winning_percentage
-20000,100.00
-10000,100.00
-9000,100.00
-8000,100.00
-6500,100.00
-5000,100.00
-4500,100.00
-4000,100.00
-3600,100.00
-3200,100.00
-2800,100.00
-2400,100.00
-2100,81.82
-1800,100.00
-1650,100.00
-1600,94.74
-1450,92.86
-1350,83.33
-1200,100.00
-1150,100.00
-1100,83.33
-1050,83.33
-1000,91.67
-950,100.00
-900,92.31
-850,60.00
-800,90.00
-750,80.00
-700,91.67
-675,100.00
-650,90.91
-625,92.86
-600,80.00
-575,83.33
-550,90.91
-535,62.50
-520,100.00
-500,76.92
-485,62.50
-470,75.00
-455,87.50
-440,80.00
-425,64.29
-410,66.67
-395,71.43
-380,63.64
-375,72.73
-360,50.00
-355,81.82
-345,75.00
-340,66.67
-325,70.59
-310,83.33
-305,100.00
-298,80.00
-290,88.89
-285,85.71
-278,81.82
-270,100.00
-265,92.31
-258,64.29
-250,70.59
-245,64.00
-238,63.64
-230,45.45
-225,65.00
-218,78.79
-205,68.00
-198,72.22
-192,60.00
-185,40.00
-180,51.43
-175,58.33
-170,60.00
-166,72.00
-162,63.64
-155,80.00
-148,42.86
-142,45.45
-140,100.00
-135,51.52
-130,50.00
-125,60.71
-122,72.73
-120,50.00
-118,62.50
-115,69.23
-112,64.29
-110,50.00
-108,38.46
-105,27.27
-102,37.50
100,50.00
102,27.27
105,39.29
108,""
110,48.65
114,48.48
120,54.55
124,57.14
130,20.00
136,36.36
140,28.00
142,30.00
145,41.67
150,48.57
154,60.00
160,40.00
164,27.78
170,32.00
180,21.21
185,35.00
190,50.00
195,36.36
200,36.00
205,29.41
210,35.71
215,7.69
220,7.69
225,18.18
230,14.29
235,11.11
240,20.00
245,""
250,16.67
260,29.41
270,33.33
275,25.00
280,18.18
285,50.00
290,100.00
295,27.27
300,36.36
310,28.57
320,27.27
330,35.71
340,20.00
350,12.50
360,25.00
370,37.50
380,23.08
390,""
400,37.50
410,9.09
425,20.00
440,20.00
450,""
455,7.14
470,10.00
490,""
500,8.33
525,20.00
550,10.00
575,40.00
600,7.69
625,""
650,7.69
675,16.67
700,16.67
750,""
800,16.67
850,7.14
900,5.26
950,""
1000,""
1100,18.18
1200,""
1300,""
1400,""
1500,""
1600,""
1700,""
1800,""
2000,""
2200,""
2500,""
3000,""
3500,""
