Team,Avg_Point_Differential
ATL HAWKS,-3.33
BKN NETS,-13.65
BOS CELTICS,7.52
CHA HORNETS,-3.50
CHI BULLS,-2.52
CLE CAVALIERS,10.65
DAL MAVERICKS,-0.10
DEN NUGGETS,6.39
DET PISTONS,1.40
GS WARRIORS,-5.00
HOU ROCKETS,4.38
IND PACERS,6.53
LA CLIPPERS,5.10
LA LAKERS,1.29
MEM GRIZZLIES,6.50
MIA HEAT,-1.86
MIL BUCKS,7.81
MIN TIMBERWOLVES,1.74
NO PELICANS,-5.45
NY KNICKS,6.80
OKC THUNDER,9.81
ORL MAGIC,-7.72
PHI 76ERS,-2.82
PHO SUNS,-1.14
POR TRAIL BLAZERS,-5.05
SA SPURS,-1.32
SAC KINGS,0.95
TOR RAPTORS,-7.89
UTA JAZZ,-5.52
WAS WIZARDS,-11.68
