Spread_Range,Total_Games,Positive_Cover_Percentage,Negative_Cover_Percentage,Both_Cover_Percentage
under 2 points,23,52.17,47.83,0.00
between 2 and 3 points,31,51.61,41.94,6.45
between 3 and 4 points,26,53.85,46.15,0.00
between 4 and 5 points,30,56.67,43.33,0.00
between 5 and 6 points,30,53.33,43.33,3.34
between 6 and 7 points,40,65.00,32.50,2.50
between 7 and 8 points,22,22.73,77.27,0.00
between 8 and 9 points,19,52.63,47.37,0.00
between 9 and 10 points,13,53.85,38.46,7.69
between 10 and 12.5 points,40,45.00,52.50,2.50
between 12.5 and 15 points,24,45.83,50.00,4.17
between 15 and 17.5 points,7,57.14,42.86,0.00
between 17.5 and 20 points,3,33.33,33.33,33.34
