Team,Avg_Point_Differential
ARI CARDINALS,1.00
ATL FALCONS,9.00
BAL RAVENS,17.33
BUF BILLS,9.67
CAR PANTHERS,-14.67
CHI BEARS,-12.67
CIN BENGALS,9.00
CLE BROWNS,-18.50
DAL COWBOYS,-5.33
DEN BRONCOS,-4.75
DET LIONS,0.75
GB PACKERS,9.25
HOU TEXANS,-3.60
IND COLTS,-7.33
JAX JAGUARS,-1.67
KC CHIEFS,3.00
LA CHARGERS,-0.75
LA RAMS,6.50
LV RAIDERS,4.67
MIA DOLPHINS,7.00
MIN VIKINGS,1.25
NE PATRIOTS,-16.33
NO SAINTS,-16.67
NY GIANTS,-12.00
NY JETS,-9.67
PHI EAGLES,15.83
PIT STEELERS,-5.60
SEA SEAHAWKS,-5.67
SF 49ERS,-9.00
TB BUCCANEERS,13.00
TEN TITANS,-8.33
WAS COMMANDERS,-0.83
