Team,Average_Actual_Points
ARI CARDINALS,51.5000
ATL FALCONS,50.2500
BAL RAVENS,45.3333
BUF BILLS,54.1429
CAR PANTHERS,63.5000
CHI BEARS,37.0000
CIN BENGALS,46.0000
CLE BROWNS,31.5000
DAL COWBOYS,46.0000
DEN BRONCOS,47.0000
DET LIONS,66.2000
GB PACKERS,41.4000
HOU TEXANS,38.1667
IND COLTS,59.7500
JAX JAGUARS,43.0000
KC CHIEFS,41.5000
LA CHARGERS,52.6000
LA RAMS,38.2000
LV RAIDERS,36.5000
MIA DOLPHINS,38.2500
MIN VIKINGS,44.2000
NE PATRIOTS,44.5000
NO SAINTS,38.5000
NY GIANTS,50.2500
NY JETS,47.7500
PHI EAGLES,50.0000
PIT STEELERS,41.6000
SEA SEAHAWKS,39.5000
SF 49ERS,63.6667
TB BUCCANEERS,51.6000
TEN TITANS,50.5000
WAS COMMANDERS,57.2857
