Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Who_Won,Winning_Line
BASKETBALL,NBA,IND PACERS,DET PISTONS,n/a,-270,220,IND PACERS,-270
BASKETBALL,NBA,CHA HORNETS,BKN NETS,n/a,-148,124,BKN NETS,124
BASKETBALL,NBA,WAS WIZARDS,TOR RAPTORS,n/a,205,-250,TOR RAPTORS,-250
BASKETBALL,NBA,NY KNICKS,DEN NUGGETS,n/a,-142,120,NY KNICKS,-142
BASKETBALL,NBA,MIA HEAT,CLE CAVALIERS,n/a,230,-285,CLE CAVALIERS,-285
BASKETBALL,NBA,BOS CELTICS,CHI BULLS,n/a,-1100,700,BOS CELTICS,-1100
BASKETBALL,NBA,PHI 76ERS,SAC KINGS,n/a,310,-395,PHI 76ERS,310
BASKETBALL,NBA,NO PELICANS,DAL MAVERICKS,n/a,100,-120,DAL MAVERICKS,-120
BASKETBALL,NBA,SA SPURS,LA CLIPPERS,n/a,150,-180,LA CLIPPERS,-180
BASKETBALL,NBA,PHO SUNS,MIN TIMBERWOLVES,n/a,105,-125,MIN TIMBERWOLVES,-125
BASKETBALL,NBA,GS WARRIORS,OKC THUNDER,n/a,340,-440,GS WARRIORS,340
BASKETBALL,NBA,PHI 76ERS,LA LAKERS,n/a,145,-175,PHI 76ERS,145
BASKETBALL,NBA,ATL HAWKS,HOU ROCKETS,n/a,195,-238,HOU ROCKETS,-238
BASKETBALL,NBA,POR TRAIL BLAZERS,MIL BUCKS,n/a,170,-205,POR TRAIL BLAZERS,170
BASKETBALL,NBA,GS WARRIORS,UTA JAZZ,n/a,-700,500,GS WARRIORS,-700
BASKETBALL,NBA,CHA HORNETS,LA LAKERS,n/a,185,-225,LA LAKERS,-225
BASKETBALL,NBA,CLE CAVALIERS,DET PISTONS,n/a,-520,390,CLE CAVALIERS,-520
BASKETBALL,NBA,BOS CELTICS,HOU ROCKETS,n/a,-258,210,HOU ROCKETS,210
BASKETBALL,NBA,NY KNICKS,MEM GRIZZLIES,n/a,-155,130,NY KNICKS,-155
BASKETBALL,NBA,BKN NETS,SAC KINGS,n/a,470,-650,SAC KINGS,-650
BASKETBALL,NBA,MIA HEAT,ORL MAGIC,n/a,100,-120,MIA HEAT,100
BASKETBALL,NBA,TOR RAPTORS,NO PELICANS,n/a,105,-125,TOR RAPTORS,105
BASKETBALL,NBA,CHI BULLS,DEN NUGGETS,n/a,320,-410,CHI BULLS,320
BASKETBALL,NBA,MIN TIMBERWOLVES,ATL HAWKS,n/a,-470,360,MIN TIMBERWOLVES,-470
BASKETBALL,NBA,DAL MAVERICKS,WAS WIZARDS,n/a,-700,500,DAL MAVERICKS,-700
BASKETBALL,NBA,UTA JAZZ,MIL BUCKS,n/a,310,-395,MIL BUCKS,-395
BASKETBALL,NBA,PHO SUNS,LA CLIPPERS,n/a,110,-130,PHO SUNS,110
BASKETBALL,NBA,POR TRAIL BLAZERS,OKC THUNDER,n/a,600,-900,OKC THUNDER,-900
FOOTBALL,NFL,PHI EAGLES,WAS COMMANDERS,n/a,-285,230,PHI EAGLES,-285
FOOTBALL,NFL,KC CHIEFS,BUF BILLS,n/a,-125,105,KC CHIEFS,-125
BASKETBALL,NBA,SA SPURS,IND PACERS,n/a,110,-140,IND PACERS,-140
BASKETBALL,NBA,MIN TIMBERWOLVES,DEN NUGGETS,n/a,160,-192,MIN TIMBERWOLVES,160
BASKETBALL,NBA,DAL MAVERICKS,BOS CELTICS,n/a,270,-340,BOS CELTICS,-340
BASKETBALL,NBA,BKN NETS,MIA HEAT,n/a,310,-395,MIA HEAT,-395
BASKETBALL,NBA,ORL MAGIC,DET PISTONS,n/a,-148,124,ORL MAGIC,-148
BASKETBALL,NBA,CHA HORNETS,NO PELICANS,n/a,142,-170,CHA HORNETS,142
BASKETBALL,NBA,NY KNICKS,SAC KINGS,n/a,-192,160,NY KNICKS,-192
BASKETBALL,NBA,CLE CAVALIERS,HOU ROCKETS,n/a,-162,136,HOU ROCKETS,136
BASKETBALL,NBA,ATL HAWKS,TOR RAPTORS,n/a,-170,142,TOR RAPTORS,142
BASKETBALL,NBA,MEM GRIZZLIES,UTA JAZZ,n/a,-550,410,MEM GRIZZLIES,-550
BASKETBALL,NBA,CHI BULLS,PHI 76ERS,n/a,-180,150,PHI 76ERS,150
BASKETBALL,NBA,GS WARRIORS,LA LAKERS,n/a,-105,-115,LA LAKERS,-115
BASKETBALL,NBA,PHO SUNS,WAS WIZARDS,n/a,-950,625,PHO SUNS,-950
BASKETBALL,NBA,LA CLIPPERS,MIL BUCKS,n/a,-155,130,LA CLIPPERS,-155
BASKETBALL,NBA,PHI 76ERS,CLE CAVALIERS,n/a,400,-535,PHI 76ERS,400
BASKETBALL,NBA,CHA HORNETS,POR TRAIL BLAZERS,n/a,-218,180,POR TRAIL BLAZERS,180
BASKETBALL,NBA,MEM GRIZZLIES,NO PELICANS,n/a,-600,440,MEM GRIZZLIES,-600
BASKETBALL,COLLEGE MENS,BOWLING GREEN,TOLEDO,n/a,124,-148,TOLEDO,-148
BASKETBALL,COLLEGE MENS,MARQUETTE,VILLANOVA,n/a,-500,380,MARQUETTE,-500
BASKETBALL,COLLEGE MENS,OHIO,KENT STATE,n/a,100,-120,OHIO,100
