Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,NBA,IND PACERS,DET PISTONS,n/a,230.5,252,O
BASKETBALL,NBA,CHA HORNETS,BKN NETS,n/a,205.5,187,U
BASKETBALL,NBA,WAS WIZARDS,TOR RAPTORS,n/a,230.5,188,U
BASKETBALL,NBA,NY KNICKS,DEN NUGGETS,n/a,243.0,234,U
BASKETBALL,NBA,MIA HEAT,CLE CAVALIERS,n/a,226.5,232,O
BASKETBALL,NBA,BOS CELTICS,CHI BULLS,n/a,231.0,222,U
BASKETBALL,NBA,PHI 76ERS,SAC KINGS,n/a,229.0,221,U
BASKETBALL,NBA,NO PELICANS,DAL MAVERICKS,n/a,233.5,273,O
BASKETBALL,NBA,SA SPURS,LA CLIPPERS,n/a,220.5,244,O
BASKETBALL,NBA,PHO SUNS,MIN TIMBERWOLVES,n/a,217.5,234,O
BASKETBALL,NBA,GS WARRIORS,OKC THUNDER,n/a,225.0,225,D
BASKETBALL,NBA,PHI 76ERS,LA LAKERS,n/a,217.0,222,O
BASKETBALL,NBA,ATL HAWKS,HOU ROCKETS,n/a,227.0,196,U
BASKETBALL,NBA,POR TRAIL BLAZERS,MIL BUCKS,n/a,229.0,237,O
BASKETBALL,NBA,GS WARRIORS,UTA JAZZ,n/a,229.5,217,U
BASKETBALL,NBA,CHA HORNETS,LA LAKERS,n/a,222.0,219,U
BASKETBALL,NBA,CLE CAVALIERS,DET PISTONS,n/a,235.0,201,U
BASKETBALL,NBA,BOS CELTICS,HOU ROCKETS,n/a,222.0,226,O
BASKETBALL,NBA,NY KNICKS,MEM GRIZZLIES,n/a,241.5,249,O
BASKETBALL,NBA,BKN NETS,SAC KINGS,n/a,225.0,206,U
BASKETBALL,NBA,MIA HEAT,ORL MAGIC,n/a,209.5,244,O
BASKETBALL,NBA,TOR RAPTORS,NO PELICANS,n/a,233.5,217,U
BASKETBALL,NBA,CHI BULLS,DEN NUGGETS,n/a,248.0,250,O
BASKETBALL,NBA,MIN TIMBERWOLVES,ATL HAWKS,n/a,217.5,192,U
BASKETBALL,NBA,DAL MAVERICKS,WAS WIZARDS,n/a,231.5,238,O
BASKETBALL,NBA,UTA JAZZ,MIL BUCKS,n/a,237.5,235,U
BASKETBALL,NBA,PHO SUNS,LA CLIPPERS,n/a,224.5,220,U
FOOTBALL,NFL,PHI EAGLES,WAS COMMANDERS,PLAYOFFS,47.5,78,O
FOOTBALL,NFL,KC CHIEFS,BUF BILLS,PLAYOFFS,49.5,61,O
BASKETBALL,NBA,POR TRAIL BLAZERS,OKC THUNDER,n/a,226.0,226,D
BASKETBALL,NBA,SA SPURS,IND PACERS,n/a,229.5,234,O
BASKETBALL,NBA,MIN TIMBERWOLVES,DEN NUGGETS,n/a,228.5,237,O
BASKETBALL,NBA,DAL MAVERICKS,BOS CELTICS,n/a,224.0,229,O
BASKETBALL,NBA,BKN NETS,MIA HEAT,n/a,209.0,203,U
BASKETBALL,NBA,ORL MAGIC,DET PISTONS,n/a,209.5,234,O
BASKETBALL,NBA,CHA HORNETS,NO PELICANS,n/a,230.5,215,U
BASKETBALL,NBA,NY KNICKS,SAC KINGS,n/a,231.5,263,O
BASKETBALL,NBA,CLE CAVALIERS,HOU ROCKETS,n/a,228.0,266,O
BASKETBALL,NBA,ATL HAWKS,TOR RAPTORS,n/a,234.0,211,U
BASKETBALL,NBA,MEM GRIZZLIES,UTA JAZZ,n/a,246.0,228,U
BASKETBALL,NBA,CHI BULLS,PHI 76ERS,n/a,230.5,206,U
BASKETBALL,NBA,GS WARRIORS,LA LAKERS,n/a,218.5,226,O
BASKETBALL,NBA,PHO SUNS,WAS WIZARDS,n/a,233.5,228,U
BASKETBALL,NBA,LA CLIPPERS,MIL BUCKS,n/a,227.0,244,O
BASKETBALL,NBA,PHI 76ERS,CLE CAVALIERS,n/a,228.5,261,O
BASKETBALL,NBA,CHA HORNETS,POR TRAIL BLAZERS,n/a,220.0,199,U
BASKETBALL,NBA,MEM GRIZZLIES,NO PELICANS,n/a,243.5,265,O
BASKETBALL,CBB,BOWLING GREEN,TOLEDO,n/a,160.5,155,U
BASKETBALL,CBB,MARQUETTE,VILLANOVA,n/a,141.5,161,O
BASKETBALL,CBB,OHIO,KENT STATE,n/a,144.0,120,U
BASKETBALL,CBB,STONEHILL,CHICAGO STATE,n/a,133.5,148,O
